序号,所用时间,1.您的性别,2.您的年级,3.您的生源地,4.您的月生活费,5.您进行过绿色低碳的相关生活方式吗?,6.您觉得“低碳”，与你的生活关系密切吗？,7.低碳生活是否会成为未来的主流生活方式？,8.您是否认为低碳生活会提高您的生活质量？,9.进行低碳生活对我来说很方便,10.我有多余的时间和精力进行低碳生活,11.学校/社区提供了足够的低碳设施,12.我认为个人行动能为低碳做贡献,13.我有机会执行低碳生活,我有足够知识进行低碳生活,14.我打算以后…—减少使用一次性产品,合理处理生活中的废弃物,在日常生活中会进行垃圾分类,尽可能劝说周围的人进行低碳生活,15.日常生活中，我会......—对垃圾进行分类,重复利用废旧物品,避免使用一次性产品,劝说周围的人进行低碳生活
62,126秒,1,3,4,4,2,2,3,4,3,4,4,4,4,3,2,3,2,2,1,1,2,1
63,380秒,1,2,1,1,1,4,4,4,2,4,3,4,3,4,4,3,3,2,4,4,3,3
64,103秒,2,1,2,3,1,4,4,3,3,3,4,4,4,3,5,4,5,4,5,4,4,4
65,394秒,2,2,3,1,1,3,2,3,1,4,3,4,1,2,3,3,2,2,3,2,2,2
66,312秒,2,1,3,1,2,4,4,4,2,1,1,3,5,3,3,2,4,3,2,2,2,3
67,367秒,1,4,4,3,2,4,2,3,2,5,2,5,2,5,4,3,2,3,3,3,3,3
68,172秒,2,3,3,3,1,3,4,3,4,1,1,3,3,4,2,2,1,1,2,1,2,1
69,248秒,1,1,3,1,2,5,3,2,2,4,3,3,4,5,3,4,3,4,3,3,3,3
70,127秒,2,4,3,3,2,2,3,5,4,5,5,3,3,2,3,2,2,1,2,2,2,1
71,79秒,2,2,3,2,1,3,4,3,4,2,4,4,2,3,4,2,3,2,2,2,2,2
72,62秒,1,4,4,2,1,3,3,4,2,2,1,3,3,4,3,3,2,1,2,2,2,2
73,149秒,2,2,2,2,1,5,3,4,2,1,3,3,3,4,3,3,4,3,3,3,3,2
74,129秒,2,4,2,3,1,3,4,2,3,3,4,4,4,3,2,2,3,2,1,1,3,3
75,371秒,2,1,1,2,2,4,4,4,4,3,3,2,4,2,4,2,2,2,2,3,3,2
76,330秒,2,1,2,2,1,4,4,4,3,5,3,3,4,2,2,3,2,2,2,1,1,1
77,309秒,1,2,4,1,2,4,5,5,3,5,4,2,3,4,5,4,5,4,5,5,3,3
78,275秒,2,4,1,3,2,4,4,3,5,2,5,1,5,3,4,3,4,3,3,4,3,3
79,255秒,2,1,4,2,1,4,2,4,3,4,4,3,3,3,3,2,2,3,3,4,4,4
80,337秒,2,2,2,3,1,3,4,3,3,4,4,5,2,2,3,3,3,3,3,2,2,2
81,93秒,2,1,4,3,2,4,5,4,4,5,3,5,5,1,4,4,2,3,3,3,3,4
82,289秒,1,1,3,1,1,4,4,4,4,3,4,4,5,5,3,3,4,3,3,3,3,4
83,281秒,2,1,3,4,2,5,2,3,4,4,2,2,4,4,4,3,3,4,4,4,2,3
84,329秒,2,1,2,3,2,2,4,5,2,3,2,2,2,2,2,2,2,1,2,2,3,3
85,274秒,1,1,3,1,1,3,3,3,3,2,3,4,4,3,4,3,3,3,4,3,3,3
86,145秒,2,3,1,1,2,4,3,5,4,4,4,4,3,3,5,3,3,4,3,2,3,2
87,399秒,1,3,4,2,1,4,4,4,2,3,2,1,4,3,4,5,3,4,5,4,4,4
88,324秒,1,3,4,3,2,4,3,2,4,4,3,4,2,4,3,2,3,4,3,2,3,2
89,95秒,2,1,2,4,2,3,3,3,4,3,5,5,4,2,4,4,2,3,4,4,3,3
90,155秒,1,4,3,3,1,3,2,4,4,2,1,3,3,3,3,3,3,1,4,3,2,2
91,192秒,1,1,4,4,2,3,5,4,2,3,3,2,3,4,4,3,4,3,4,3,3,3
92,98秒,2,3,2,3,1,5,3,3,2,5,5,2,5,4,5,3,4,3,4,4,4,4
93,152秒,2,4,3,1,2,3,4,3,2,1,3,3,2,3,1,2,2,1,1,2,2,2
94,82秒,1,3,4,2,2,2,4,5,2,3,3,3,1,3,2,2,1,1,1,1,1,1
95,158秒,1,2,2,3,2,3,4,3,4,2,3,3,4,3,5,4,3,5,4,4,4,4
96,316秒,1,2,3,4,1,4,2,3,3,4,2,5,4,3,4,3,3,2,3,3,2,2
97,242秒,2,3,4,2,1,4,3,4,3,2,4,3,3,2,1,1,1,1,2,1,1,1
98,184秒,1,2,1,3,1,1,3,2,1,4,2,4,3,2,3,3,2,1,2,2,2,2
99,92秒,2,4,4,2,1,1,3,3,2,3,3,3,3,4,3,3,4,3,3,3,3,2
100,168秒,2,4,4,2,1,5,3,4,3,3,2,4,5,1,5,4,5,5,4,5,4,4
101,388秒,2,3,1,2,1,2,3,3,1,2,4,5,4,4,2,3,2,2,1,2,2,2
102,332秒,1,4,2,3,1,5,3,5,3,2,2,4,3,3,3,3,3,3,2,3,3,3
103,231秒,2,1,4,4,2,3,3,4,3,3,2,3,3,3,2,3,2,3,3,3,2,2
104,149秒,2,1,2,4,2,3,3,2,5,5,3,3,4,2,4,4,2,3,3,4,3,2
105,157秒,2,1,4,4,2,2,3,3,3,3,3,4,3,2,3,4,3,3,4,4,3,3
106,384秒,2,2,2,3,1,3,4,3,5,1,2,3,3,3,3,3,1,2,3,3,1,2
107,123秒,2,2,4,1,1,1,4,3,5,4,2,5,3,2,2,1,1,1,1,1,1,1
108,326秒,2,3,2,2,1,3,3,4,3,5,3,3,5,3,5,3,5,5,4,3,4,5
109,269秒,1,2,2,2,1,4,4,4,3,3,3,3,3,3,2,3,2,1,3,2,2,3
110,80秒,2,4,3,3,1,4,3,4,3,3,2,5,2,5,2,1,3,1,2,2,2,3
111,379秒,1,1,2,1,2,3,3,4,2,4,3,4,5,1,4,3,4,3,3,3,3,3
112,130秒,1,4,3,4,1,4,3,5,2,1,3,1,2,5,4,4,3,3,2,4,3,2
113,376秒,1,2,1,2,1,5,3,4,3,3,2,4,4,2,1,2,3,2,3,3,2,1
114,177秒,2,1,1,2,2,4,5,3,4,3,4,4,4,5,5,5,5,5,4,4,5,4
115,111秒,2,4,4,2,2,3,2,4,2,5,2,3,3,4,5,5,5,5,5,4,3,4
116,279秒,2,2,4,4,1,4,2,4,3,4,2,2,4,2,4,2,2,3,2,4,3,2
117,262秒,2,3,2,3,1,3,3,4,4,5,3,3,5,3,3,3,3,2,3,4,2,3
118,291秒,1,2,1,3,2,5,3,5,2,3,4,4,2,3,5,2,5,4,4,4,3,4
119,108秒,1,3,3,4,2,3,3,4,3,5,3,4,3,2,5,5,5,4,5,4,4,3
120,119秒,1,2,4,3,2,3,5,5,2,4,5,5,5,4,2,3,4,4,2,2,4,3
121,227秒,2,3,4,2,1,2,3,4,3,2,5,3,4,4,1,1,2,1,1,1,1,1
122,385秒,1,2,3,2,1,2,3,5,2,3,4,4,3,4,2,3,3,1,4,2,2,2
123,183秒,1,2,4,1,2,4,2,2,3,3,3,1,3,3,1,2,2,2,2,2,2,2
124,153秒,1,4,3,3,1,2,5,3,3,4,4,4,3,1,3,2,2,3,1,1,3,2
125,247秒,1,4,1,3,1,4,4,4,3,5,4,2,3,2,2,2,2,2,3,2,2,2
126,324秒,1,4,4,3,1,4,2,3,2,5,2,4,4,3,4,3,4,3,2,4,3,3
127,213秒,2,2,1,3,1,4,5,3,3,5,1,4,4,2,4,3,2,3,3,3,3,2
128,284秒,2,3,1,3,2,3,5,3,2,3,3,2,3,3,1,1,1,1,1,1,2,2
129,252秒,2,2,2,4,1,5,4,5,4,1,3,3,3,5,4,4,3,3,4,3,3,3
130,107秒,2,1,4,2,1,3,3,3,2,5,3,3,4,4,2,2,2,2,2,3,3,2
131,301秒,1,2,2,4,2,4,2,3,4,4,5,2,3,5,2,4,3,3,2,3,2,3
132,357秒,2,2,2,2,2,3,3,4,4,1,4,4,4,1,1,3,1,2,1,2,1,1
133,269秒,1,3,2,3,2,5,2,2,2,4,3,3,4,2,3,3,2,3,2,2,3,2
134,105秒,1,4,2,4,2,3,3,4,3,3,2,2,3,3,2,1,2,2,2,2,3,2
135,176秒,1,4,3,1,2,4,3,3,3,2,4,2,3,4,4,3,2,3,3,3,3,3
136,127秒,1,1,3,2,1,4,3,4,4,4,1,4,3,3,3,3,4,3,3,4,4,3
137,272秒,1,3,1,3,1,2,4,2,4,1,3,4,3,3,4,3,3,4,4,2,4,3
138,239秒,1,1,2,2,1,3,5,3,1,4,2,2,5,2,3,3,2,3,2,3,2,2
139,142秒,1,1,2,1,1,5,4,3,3,4,4,4,2,2,4,2,4,2,3,3,3,3
140,373秒,1,4,3,3,1,2,1,5,4,3,3,2,3,3,3,3,2,2,2,2,2,3
141,189秒,1,1,4,2,1,3,3,2,4,3,2,3,2,5,2,2,4,2,2,2,3,3
142,178秒,2,1,3,2,2,4,5,4,4,3,2,3,3,1,3,2,4,2,3,4,3,3
143,341秒,2,3,2,1,1,4,3,4,5,3,4,5,4,5,4,3,3,3,3,2,2,4
144,393秒,2,1,4,2,1,4,5,4,4,4,5,3,3,5,5,4,4,3,4,3,2,4
145,327秒,1,4,1,3,1,3,4,4,1,4,2,3,4,4,3,2,3,2,2,3,2,2
146,292秒,2,3,4,3,2,3,4,4,2,3,2,4,3,2,1,2,1,3,2,3,2,3
147,128秒,1,2,2,3,1,4,3,4,1,5,3,4,3,4,3,2,1,1,2,1,1,1
148,288秒,2,2,4,2,1,4,3,3,3,3,3,3,4,3,3,2,2,2,2,1,1,2
149,96秒,1,3,1,2,2,2,1,3,5,3,4,4,3,2,4,3,4,3,4,3,4,4
150,303秒,2,3,2,2,1,3,5,3,2,2,2,4,3,2,2,3,1,2,2,2,3,1
151,298秒,2,2,1,2,2,3,5,5,3,4,4,1,3,1,4,4,4,4,3,3,4,4
152,346秒,1,4,4,1,2,2,2,3,3,2,3,3,3,1,2,2,1,1,1,2,1,1
153,283秒,1,2,1,2,1,4,3,5,5,3,3,5,3,3,5,3,4,4,3,3,3,3
154,301秒,2,2,3,3,1,2,4,4,3,3,4,2,4,3,4,3,4,3,3,5,2,2
155,180秒,2,2,1,4,1,4,5,5,4,3,3,5,4,2,3,3,4,2,4,3,3,2
156,283秒,2,1,4,3,1,5,5,4,4,5,3,3,3,2,2,3,2,1,3,3,2,2
157,73秒,2,2,3,2,2,4,2,4,3,2,2,4,4,3,5,4,4,3,4,4,3,3
158,130秒,1,2,2,2,1,3,5,5,2,4,2,4,1,3,1,1,2,2,1,1,2,1
159,207秒,1,2,1,1,1,2,3,5,3,3,3,2,5,4,4,3,3,3,3,3,4,3
160,226秒,2,2,1,4,1,4,4,5,3,4,2,3,4,5,4,4,3,4,3,4,3,3
161,168秒,2,1,3,2,2,3,3,3,1,2,4,4,3,2,3,3,2,3,3,2,2,3
162,242秒,2,2,2,2,2,3,2,5,3,1,3,4,4,4,5,5,4,5,4,5,5,4
163,69秒,2,1,3,3,1,3,3,3,2,1,1,4,3,2,1,1,2,1,1,1,1,1
164,164秒,2,3,3,2,1,3,5,5,3,1,2,5,3,3,3,3,3,3,2,4,3,4
165,128秒,1,2,1,4,2,3,4,4,2,4,2,4,3,3,3,4,2,2,4,3,3,2
166,206秒,2,1,1,2,2,2,2,4,3,5,4,3,4,4,4,3,4,2,4,3,3,3
167,297秒,2,3,2,4,1,4,4,3,2,4,5,2,3,2,3,2,2,2,2,3,2,2
168,245秒,1,1,3,1,2,3,5,4,5,3,4,4,4,2,2,3,3,3,2,3,1,2
169,149秒,2,1,1,3,1,4,3,5,2,3,4,3,4,5,3,3,3,3,4,2,3,4
170,347秒,1,1,2,2,2,5,5,4,3,4,4,3,3,3,4,3,4,4,4,4,3,4
171,272秒,2,1,3,2,2,5,4,5,4,2,3,2,4,5,5,4,4,4,4,5,4,4
172,215秒,2,1,2,2,1,5,3,2,5,4,4,2,4,2,4,3,3,4,4,3,3,3
173,300秒,2,1,1,3,2,4,4,5,4,3,2,2,5,5,4,5,3,4,5,4,4,4
174,282秒,2,3,2,3,1,4,3,4,3,2,1,5,3,4,4,3,4,3,4,3,5,3
175,361秒,2,1,3,2,2,3,3,2,4,5,2,4,3,3,1,1,1,1,1,1,1,1
176,291秒,2,4,4,1,1,3,4,5,3,3,3,3,3,2,3,3,1,3,3,4,3,3
177,236秒,2,2,4,2,1,2,3,5,3,2,3,2,4,5,3,4,4,2,2,4,4,2
178,367秒,1,2,4,2,1,3,5,4,4,3,3,3,5,3,3,2,2,2,2,2,2,2
179,234秒,1,4,4,3,1,5,2,4,2,3,1,4,3,3,5,5,5,5,5,5,5,5
180,363秒,1,2,3,2,1,4,2,3,3,2,2,2,4,5,4,4,4,4,4,3,3,3
181,291秒,1,3,2,3,1,4,3,2,2,2,3,2,4,5,2,3,2,2,2,3,2,2
182,395秒,2,2,2,2,2,4,3,3,1,3,3,2,5,4,4,5,5,4,5,5,3,3
183,60秒,2,4,3,4,1,3,4,2,4,4,4,5,4,3,3,3,2,2,2,2,2,1
184,288秒,2,1,2,1,1,4,3,5,3,2,3,3,3,2,4,5,4,4,4,4,4,5
185,331秒,1,4,2,2,1,4,3,3,3,4,2,4,3,3,3,1,1,2,2,2,2,2
186,355秒,2,1,3,2,1,4,2,3,4,3,3,2,3,3,1,2,3,3,2,3,2,2
187,202秒,2,2,1,2,1,2,4,2,3,3,4,3,3,4,2,2,2,1,1,1,1,1
188,210秒,2,3,2,3,1,3,4,3,2,4,3,5,5,4,5,4,5,4,4,4,5,4
189,330秒,1,2,1,2,2,5,2,3,3,2,2,2,4,2,3,4,3,3,2,2,2,3
190,180秒,2,2,1,2,1,4,4,2,3,3,4,5,5,2,2,1,3,2,2,3,3,3
191,145秒,2,1,4,4,2,4,4,3,1,4,3,2,2,4,1,2,2,2,1,3,1,2
192,69秒,1,3,3,1,1,4,4,5,5,4,1,4,4,1,3,3,3,3,3,2,2,3
193,287秒,1,2,2,3,1,2,4,4,5,5,2,3,4,2,2,2,2,2,2,3,2,2
194,170秒,1,4,4,2,1,3,4,5,3,5,3,5,2,5,3,3,3,3,2,2,2,3
195,164秒,2,3,1,3,1,4,3,5,3,4,3,3,3,1,4,2,2,2,3,2,3,2
196,94秒,2,3,3,2,1,4,3,4,3,2,3,1,4,2,4,3,3,3,3,3,3,2
197,370秒,1,2,4,1,1,3,5,2,3,1,2,3,4,5,2,2,3,3,2,2,2,2
198,85秒,1,2,2,1,2,4,2,4,4,4,2,4,5,3,4,3,4,4,3,2,2,2
199,368秒,1,2,2,2,1,4,4,4,4,2,4,2,1,5,3,2,3,2,3,2,2,2
200,153秒,1,4,2,4,1,3,2,4,2,3,3,4,3,5,4,3,3,3,4,4,2,2
201,209秒,1,4,2,2,1,4,4,5,2,4,1,4,2,3,1,2,2,1,1,1,1,1
202,269秒,2,3,1,3,1,1,5,4,5,4,3,3,3,3,3,2,3,3,2,4,3,3
203,324秒,2,1,2,1,1,4,5,5,2,5,2,2,3,3,3,2,3,2,3,2,2,2
204,139秒,2,2,4,2,1,3,3,3,4,3,1,3,4,3,5,3,3,3,2,2,2,3
205,236秒,1,3,3,2,2,3,4,3,2,4,2,3,3,3,4,3,4,3,4,3,3,3
206,277秒,1,3,3,2,1,3,3,4,4,1,1,5,3,3,2,2,1,2,1,1,1,2
207,79秒,2,3,2,3,2,3,4,4,5,4,5,4,5,4,2,2,3,2,2,3,1,2
208,352秒,2,3,4,2,2,3,4,4,4,3,3,2,5,4,4,2,2,2,2,2,4,3
209,137秒,1,2,4,2,1,3,2,4,5,3,4,3,2,3,2,1,2,1,3,2,2,2
210,223秒,2,3,3,2,2,2,5,5,3,2,2,2,2,5,3,3,3,2,4,3,2,3
211,361秒,2,3,2,4,2,4,3,4,5,4,3,5,3,4,2,3,2,2,3,3,3,3
212,394秒,2,1,2,3,1,2,3,3,5,1,1,4,4,2,4,3,3,2,3,2,2,2
213,238秒,2,2,2,4,1,2,4,4,2,2,3,3,4,4,4,3,4,4,4,5,3,2
214,86秒,2,4,4,2,1,5,4,5,5,5,3,4,4,4,3,2,3,3,3,2,3,3
215,367秒,2,4,4,3,1,4,4,4,3,3,3,5,5,5,5,3,4,3,4,3,2,2
216,69秒,2,4,4,1,1,5,5,4,3,4,3,3,3,2,2,2,2,1,2,4,2,2
217,338秒,1,2,4,4,1,3,2,2,3,3,3,3,5,4,4,3,3,2,3,2,3,3
218,283秒,1,2,4,2,1,3,2,5,4,1,1,3,5,5,5,4,4,3,4,5,4,4
219,69秒,1,1,4,4,2,4,2,4,4,4,4,3,4,4,4,2,3,3,4,4,3,3
220,229秒,2,4,1,3,1,5,4,5,4,3,4,3,3,4,4,2,4,3,3,4,3,3
221,189秒,2,4,3,4,2,1,3,5,2,4,3,3,3,2,5,4,4,5,3,5,3,3
222,371秒,2,1,3,2,1,2,4,5,2,4,3,4,4,5,5,4,5,4,5,5,5,4
223,125秒,1,1,1,3,2,1,4,3,4,3,4,4,3,2,2,2,1,1,3,1,1,1
224,386秒,2,1,3,1,1,2,5,3,4,3,3,3,5,3,1,1,1,1,1,1,1,1
225,261秒,2,2,3,1,1,3,4,3,4,3,2,2,4,3,3,4,4,3,3,3,3,3
226,64秒,2,4,3,2,1,4,2,5,2,5,2,3,3,2,3,3,3,3,3,2,3,3
227,240秒,1,1,2,1,1,4,2,4,5,5,1,3,4,3,4,4,2,3,3,4,3,3
228,200秒,1,4,3,4,1,3,5,4,3,4,3,2,2,1,1,1,1,1,1,1,1,1
229,113秒,2,4,3,2,2,3,3,3,2,2,5,3,5,3,3,2,2,3,2,2,2,1
230,103秒,2,2,2,2,1,3,4,5,4,2,2,5,3,4,4,4,4,2,4,3,4,2
231,291秒,2,4,3,1,1,1,3,3,4,4,2,3,5,3,3,2,2,2,1,2,2,2
232,106秒,2,3,1,3,1,4,3,3,1,2,3,4,2,1,3,2,3,2,3,2,2,3
233,348秒,2,2,3,2,1,2,4,3,4,4,2,3,4,1,2,2,1,1,1,3,2,1
234,129秒,2,2,3,2,1,3,4,3,3,3,2,4,3,2,3,4,5,4,4,3,3,2
235,197秒,2,3,3,2,1,4,4,4,4,2,4,4,2,4,4,3,4,3,3,3,3,3
236,312秒,1,4,1,4,2,4,4,2,4,4,3,4,3,5,5,4,3,4,3,4,4,4
237,279秒,1,3,2,2,2,4,4,3,4,2,2,3,5,3,2,4,1,2,1,2,2,2
238,170秒,1,1,1,1,2,3,4,5,4,4,3,3,3,5,3,3,3,2,3,3,2,2
239,378秒,1,3,4,1,1,3,4,5,4,2,4,2,5,3,5,4,4,3,4,3,3,3
240,92秒,1,1,3,2,1,4,4,2,3,3,3,4,5,3,3,2,2,2,3,2,2,3
241,79秒,1,3,3,1,1,3,4,4,3,2,3,2,3,4,2,2,1,2,2,2,1,2
242,112秒,1,2,4,2,1,2,5,4,2,4,4,4,3,3,1,1,2,1,1,1,1,1
243,148秒,1,2,4,2,1,5,3,3,3,4,4,3,3,4,4,3,5,3,4,3,3,4
244,310秒,1,3,4,2,2,3,3,4,3,1,4,3,2,3,2,2,3,2,1,2,1,1
245,222秒,2,2,2,1,1,2,4,4,3,3,2,1,5,5,3,2,3,3,3,3,3,2
246,64秒,1,2,2,3,2,2,2,3,4,4,3,2,4,3,3,2,3,1,1,1,2,2
247,308秒,2,4,1,1,2,3,5,4,5,3,3,2,2,4,4,3,3,3,3,4,3,3
248,375秒,2,3,3,2,1,5,4,4,2,2,4,4,2,3,4,4,4,3,5,5,3,4
249,329秒,2,2,3,2,1,5,3,2,3,4,2,2,4,1,3,2,3,3,3,3,3,1
250,106秒,2,3,3,2,2,4,5,4,3,4,3,3,5,2,4,3,4,3,3,4,3,3
251,82秒,2,2,4,3,1,2,5,3,3,4,3,3,4,4,3,3,4,3,3,2,4,3
252,362秒,1,4,3,2,1,4,3,5,2,2,3,2,4,3,3,3,3,2,1,3,3,3
253,297秒,1,3,4,1,1,5,3,4,4,3,4,3,4,5,2,4,3,4,3,4,3,3
254,359秒,2,3,1,4,1,2,4,5,4,3,2,4,1,5,2,1,1,1,1,1,1,1
255,308秒,1,4,4,2,2,3,2,3,2,3,5,2,3,1,3,1,2,2,2,2,1,3
256,185秒,1,1,1,2,1,3,5,4,1,4,5,4,3,5,5,5,4,5,4,4,3,4
257,345秒,1,4,4,3,2,5,3,2,3,5,4,5,3,4,4,3,2,4,2,3,2,3
258,366秒,1,1,3,3,1,5,3,3,2,1,4,3,2,2,2,1,1,1,1,2,1,2
259,134秒,2,1,1,4,2,4,4,3,4,2,2,3,3,3,3,1,3,2,2,2,2,1
260,153秒,1,1,1,2,1,5,3,4,4,3,4,3,4,4,3,3,4,3,3,4,4,3
261,398秒,2,1,2,2,1,4,3,3,2,3,3,4,1,1,3,3,3,3,2,3,2,3
262,98秒,2,1,3,1,1,4,3,3,4,4,4,3,3,2,2,2,1,1,3,2,1,1
263,124秒,2,2,2,1,2,5,4,5,4,3,2,1,4,1,3,4,4,3,3,3,3,4
264,337秒,1,3,4,3,2,3,3,5,4,4,3,2,3,2,3,3,3,2,3,2,2,3
265,230秒,1,3,4,3,2,2,4,5,2,3,3,2,4,3,3,2,3,3,3,3,3,4
