mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
34.5,4,93.2,26.6,517,19.4,76,3,Car_95
12.8,6,238.1,95.5,1473,14.2,77,3,Car_96
36.3,4,104.7,56.0,437,18.5,80,1,Car_97
29.4,4,120.9,47.5,666,17.7,77,1,Car_98
37.9,4,85.4,38.7,481,17.0,82,1,Car_99
29.3,4,148.2,48.7,856,20.2,77,3,Car_100
15.6,6,242.7,101.4,1523,15.5,81,1,Car_101
29.0,4,128.9,49.7,700,16.5,79,1,Car_102
28.5,4,117.5,56.9,863,18.3,76,1,Car_103
10.0,8,395.5,170.1,2452,8.0,81,1,Car_104
26.2,4,137.0,80.7,848,15.9,70,1,Car_105
26.6,4,127.9,57.0,754,17.8,73,3,Car_106
17.6,6,220.8,91.6,1388,14.4,82,1,Car_107
29.6,4,143.8,59.4,990,16.3,82,1,Car_108
22.7,4,137.6,,749,17.1,73,3,Car_109
27.9,4,146.5,62.0,829,15.9,74,3,Car_110
27.6,4,130.8,49.4,775,17.1,79,1,Car_111
10.0,8,407.1,164.5,2363,8.8,75,1,Car_112
10.0,8,420.3,181.3,2507,8.0,73,1,Car_113
10.4,6,221.3,78.5,1315,16.5,71,3,Car_114
10.0,8,422.2,180.3,2723,9.4,75,1,Car_115
10.0,8,312.0,138.0,1966,10.3,77,3,Car_116
37.0,4,81.8,31.6,531,19.8,77,2,Car_117
10.0,8,382.1,131.6,2471,12.1,76,1,Car_118
16.8,6,210.5,78.1,1289,16.3,75,1,Car_119
10.0,8,367.8,160.1,2328,9.3,71,1,Car_120
10.0,8,396.5,158.4,2446,10.2,76,1,Car_121
30.5,4,121.6,38.6,786,19.5,80,1,Car_122
29.8,4,106.7,37.6,591,17.5,81,2,Car_123
30.6,4,147.9,67.6,624,17.6,74,3,Car_124
31.7,4,138.9,61.0,845,18.2,75,2,Car_125
10.0,8,337.1,,2261,10.5,79,2,Car_126
10.0,8,323.9,125.9,2120,12.0,77,1,Car_127
36.9,3,52.8,17.2,443,21.4,77,1,Car_128
27.1,4,99.1,30.4,763,19.3,72,1,Car_129
35.1,4,83.9,49.7,531,19.3,81,2,Car_130
27.9,4,140.5,,895,20.6,81,3,Car_131
33.1,4,136.9,66.9,775,15.7,76,2,Car_132
27.7,4,150.0,75.2,892,14.3,70,1,Car_133
10.0,8,398.8,169.5,2546,8.8,70,1,Car_134
31.4,4,118.9,43.2,882,19.4,76,2,Car_135
31.9,4,133.8,57.6,813,17.1,79,1,Car_136
15.9,6,216.8,86.5,1290,16.8,78,3,Car_137
26.1,4,139.5,46.8,865,16.7,76,3,Car_138
10.0,8,449.5,183.0,2859,8.2,79,2,Car_139
10.0,8,446.2,,2593,8.0,74,1,Car_140
33.4,4,89.0,47.5,277,20.3,77,1,Car_141
22.3,4,146.8,54.1,844,20.1,71,1,Car_142
28.7,4,122.4,51.0,613,17.0,78,1,Car_143
31.0,4,96.0,41.2,534,18.0,75,1,Car_144
30.9,4,127.0,48.2,770,19.2,82,2,Car_145
20.8,6,225.6,96.1,1344,13.8,78,2,Car_146
25.3,4,105.1,37.3,826,19.0,71,1,Car_147
31.6,4,87.9,43.9,584,18.5,72,1,Car_148
33.8,4,127.0,37.3,824,16.7,81,1,Car_149
10.0,8,411.4,165.8,2625,8.7,77,1,Car_150
25.8,4,134.1,73.0,695,15.3,70,3,Car_151
31.5,4,116.4,36.6,846,18.5,79,1,Car_152
29.2,4,139.7,49.1,857,19.8,76,1,Car_153
10.0,8,448.1,,2859,8.0,76,1,Car_154
31.8,4,119.3,49.5,611,19.0,82,3,Car_155
17.6,6,192.3,80.4,1006,15.2,70,2,Car_156
10.0,6,244.0,102.5,1611,13.5,78,1,Car_157
33.6,4,89.4,42.1,599,19.6,77,1,Car_158
16.6,6,206.8,93.8,1174,14.9,73,2,Car_159
29.3,4,132.9,,719,18.1,79,3,Car_160
24.4,6,183.3,70.9,1271,17.5,80,1,Car_161
16.5,6,191.6,83.4,1045,14.9,74,3,Car_162
11.9,6,231.7,111.7,1633,12.3,71,3,Car_163
38.7,4,89.5,34.5,447,17.9,82,3,Car_164
10.0,8,388.9,145.8,2487,9.3,78,2,Car_165
31.3,4,104.5,52.9,609,21.3,81,2,Car_166
30.6,4,121.3,47.3,824,19.7,81,1,Car_167
32.1,4,107.5,21.3,601,18.7,75,3,Car_168
16.3,6,204.9,90.4,1251,13.2,72,1,Car_169
14.1,6,230.3,86.8,1433,15.6,81,2,Car_170
36.2,3,59.8,23.0,250,20.8,76,1,Car_171
28.9,4,116.0,49.7,808,18.7,78,2,Car_172
26.9,4,134.9,55.8,775,17.2,72,3,Car_173
14.8,6,226.5,97.7,1377,14.0,71,1,Car_174
30.5,4,123.5,45.1,647,18.8,76,3,Car_175
12.1,6,231.3,97.6,1126,14.3,76,1,Car_176
28.7,4,146.5,56.0,885,14.9,73,3,Car_177
10.0,8,428.2,178.7,2944,8.0,80,1,Car_178
31.0,4,144.9,64.1,992,15.9,78,1,Car_179
31.2,4,114.4,36.4,707,19.3,77,3,Car_180
35.8,4,98.1,50.1,577,21.6,82,1,Car_181
10.0,8,366.8,141.4,2277,11.1,82,3,Car_182
10.0,8,377.2,159.0,2404,8.9,70,1,Car_183
29.4,4,114.5,49.5,568,19.1,70,1,Car_184
13.6,6,234.0,112.0,1584,13.6,74,1,Car_185
10.0,8,324.5,127.6,2098,12.3,75,2,Car_186
19.0,6,185.3,70.6,1235,17.1,72,1,Car_187
18.3,6,231.0,92.2,1485,17.1,82,1,Car_188
29.8,4,89.0,32.6,554,18.0,78,1,Car_189
30.6,4,89.0,43.6,632,19.1,81,1,Car_190
10.0,8,348.8,123.3,2233,11.0,79,3,Car_191
10.0,8,416.0,155.9,2537,10.2,75,3,Car_192
12.5,6,237.3,84.3,1403,14.2,73,1,Car_193
33.6,4,92.7,46.6,587,17.8,81,2,Car_194
33.6,4,104.2,58.8,832,16.9,76,1,Car_195
20.0,6,199.1,,1085,16.9,77,2,Car_196
10.0,8,311.0,122.7,1752,13.3,78,3,Car_197
10.0,8,325.5,130.9,2038,10.0,82,3,Car_198
18.3,6,186.4,86.2,1162,15.2,80,1,Car_199
12.8,6,244.2,88.4,1535,14.1,75,3,Car_200
31.0,4,82.9,35.5,543,17.6,75,1,Car_201
31.1,4,91.8,46.5,543,18.0,77,3,Car_202
10.0,8,337.3,139.9,2270,10.4,81,1,Car_203
17.7,6,193.0,79.1,1004,18.6,74,2,Car_204
35.3,3,51.4,30.6,220,20.1,72,2,Car_205
27.3,4,88.4,8.3,536,19.7,81,2,Car_206
18.8,6,231.3,99.3,1237,13.4,72,1,Car_207
40.8,3,69.1,21.1,408,21.5,82,3,Car_208
28.8,4,105.5,23.9,853,22.6,75,1,Car_209
13.6,6,228.5,96.5,1419,12.4,71,2,Car_210
11.5,6,239.4,109.5,1512,11.0,75,1,Car_211
24.1,6,197.5,77.6,1073,18.0,82,1,Car_212
32.3,4,136.0,63.9,769,17.4,75,1,Car_213
18.8,6,195.5,94.3,1167,13.4,77,1,Car_214
34.5,4,85.7,47.4,493,18.8,76,1,Car_215
28.1,4,141.2,72.9,1029,13.0,77,1,Car_216
16.5,6,182.8,80.5,1200,15.6,78,1,Car_217
14.4,6,229.4,92.5,1289,15.0,75,3,Car_218
10.0,8,308.6,107.4,1943,14.5,72,3,Car_219
18.0,6,192.6,74.6,1254,14.8,79,1,Car_220
13.7,6,219.8,79.5,1499,15.7,72,1,Car_221
32.2,4,92.9,,766,16.2,80,1,Car_222
33.4,4,94.7,36.1,465,19.4,81,1,Car_223
28.9,4,105.9,43.6,559,17.4,70,2,Car_224
29.5,4,113.9,51.1,555,17.4,80,2,Car_225
10.0,8,347.4,139.4,2126,9.7,82,1,Car_226
26.9,4,105.8,59.3,712,18.0,74,1,Car_227
10.0,8,306.2,116.3,2017,13.7,73,1,Car_228
12.6,6,213.2,87.2,1313,14.7,78,3,Car_229
17.8,6,240.3,88.7,1452,14.9,78,3,Car_230
33.5,4,97.7,25.9,624,18.2,74,1,Car_231
18.1,6,202.3,74.8,1154,15.7,79,1,Car_232
20.2,4,142.7,56.7,1135,17.4,73,3,Car_233
29.6,4,115.8,42.0,525,21.8,76,3,Car_234
15.3,6,221.7,81.8,1397,14.1,75,1,Car_235
28.0,4,87.5,20.9,785,22.1,73,1,Car_236
31.1,4,111.3,43.7,691,19.7,82,1,Car_237
24.3,6,185.4,59.1,1127,17.6,82,2,Car_238
33.9,4,97.0,46.4,558,20.4,79,1,Car_239
10.0,8,320.9,129.2,1968,12.1,71,1,Car_240
10.0,8,304.5,107.2,2053,13.9,70,2,Car_241
10.0,8,346.2,135.4,1881,11.1,73,1,Car_242
28.8,4,102.5,33.5,820,20.8,73,3,Car_243
41.3,3,52.6,24.2,155,21.4,82,1,Car_244
10.0,8,401.0,173.8,2454,8.0,70,1,Car_245
32.9,4,88.4,16.6,496,19.1,75,2,Car_246
10.0,8,314.1,126.8,2018,11.6,73,1,Car_247
10.0,8,400.9,158.8,2294,8.3,70,3,Car_248
10.0,8,366.6,153.3,2328,9.7,70,1,Car_249
29.2,4,135.2,56.2,1081,19.0,82,1,Car_250
27.5,4,114.9,38.4,549,18.4,70,2,Car_251
10.0,8,403.9,158.4,2527,9.3,77,1,Car_252
29.6,4,117.6,39.1,650,18.9,79,3,Car_253
29.7,4,121.1,59.2,802,18.3,77,1,Car_254
14.6,6,217.0,87.0,1348,12.3,71,1,Car_255
10.0,8,374.6,168.8,2245,8.0,80,1,Car_256
13.7,6,235.9,93.8,1521,14.8,82,1,Car_257
13.7,6,249.9,92.9,1766,16.0,76,3,Car_258
30.9,4,105.4,27.0,631,19.2,77,3,Car_259
16.1,6,233.7,75.4,1535,13.7,77,1,Car_260
10.0,8,439.6,160.0,2571,9.9,80,1,Car_261
34.7,4,104.9,44.6,536,17.7,79,3,Car_262
26.5,4,149.1,64.7,981,15.4,80,3,Car_263
10.0,8,332.4,117.1,2239,11.9,82,1,Car_264
10.0,6,248.9,108.5,1586,13.1,76,1,Car_265
15.3,6,233.8,88.7,1412,14.2,74,1,Car_266
15.8,6,209.2,85.2,1297,12.5,70,3,Car_267
31.7,4,97.2,55.0,453,18.7,81,1,Car_268
33.1,4,91.2,45.5,638,19.9,78,1,Car_269
10.0,8,449.9,177.3,2895,8.6,82,3,Car_270
10.0,8,307.2,114.0,1851,11.5,76,1,Car_271
10.0,8,446.6,,2712,9.2,71,1,Car_272
10.0,8,361.0,137.2,2270,11.0,75,1,Car_273
28.5,4,85.6,32.1,478,20.1,71,1,Car_274
31.2,4,116.7,36.8,716,19.9,70,1,Car_275
16.9,6,182.9,71.9,1386,15.4,76,1,Car_276
18.7,6,181.3,73.3,1094,16.2,82,1,Car_277
11.7,6,249.1,97.4,1502,14.8,71,2,Car_278
23.7,6,209.9,77.5,1224,17.5,82,3,Car_279
10.0,8,349.1,141.3,2253,11.5,71,3,Car_280
27.7,4,140.6,60.7,850,18.1,82,1,Car_281
33.0,4,137.2,44.0,773,18.6,80,1,Car_282
34.1,4,98.1,53.3,766,19.4,74,1,Car_283
13.4,6,235.0,,1628,15.0,74,1,Car_284
26.4,4,126.8,50.9,714,16.9,76,1,Car_285
30.7,4,145.1,65.1,675,18.5,70,2,Car_286
17.8,6,241.5,98.9,1618,14.9,77,1,Car_287
29.8,4,120.0,57.5,662,16.9,72,1,Car_288
13.5,6,212.7,88.0,1414,14.4,73,1,Car_289
29.7,4,133.9,47.4,594,18.6,78,2,Car_290
29.9,4,93.1,40.9,684,19.3,73,1,Car_291
10.0,8,359.4,132.3,2083,11.7,79,2,Car_292
35.0,4,109.8,45.0,768,18.8,81,1,Car_293
31.0,4,115.5,45.9,718,20.4,74,3,Car_294
13.6,6,225.5,88.1,1283,16.2,76,3,Car_295
17.9,6,222.5,87.7,1331,15.2,73,1,Car_296
27.6,4,122.7,30.3,843,20.7,70,1,Car_297
20.1,6,196.1,73.0,1229,14.9,78,1,Car_298
31.4,4,120.7,49.2,818,18.5,73,1,Car_299
29.3,4,90.8,37.9,800,21.1,78,2,Car_300
18.3,6,193.1,66.9,1009,16.4,75,3,Car_301
11.0,6,234.6,106.5,1648,12.5,70,2,Car_302
15.5,6,204.5,73.1,1280,15.4,81,3,Car_303
18.5,6,184.0,83.3,1033,14.0,72,1,Car_304
10.0,8,429.5,176.1,2503,8.0,80,1,Car_305
26.5,4,84.4,27.3,501,19.4,71,2,Car_306
27.5,4,149.3,77.5,1036,14.1,78,1,Car_307
16.9,6,249.6,87.9,1532,15.0,81,2,Car_308
25.8,4,136.7,63.9,1029,18.0,70,1,Car_309
33.6,4,97.8,49.1,432,17.0,82,1,Car_310
26.7,4,127.7,44.4,790,20.3,78,3,Car_311
30.1,4,133.2,67.2,676,17.2,78,1,Car_312
10.0,8,380.0,149.5,2400,11.3,77,3,Car_313
10.0,8,391.2,159.4,2532,8.5,77,3,Car_314
22.1,6,195.7,80.9,1163,16.6,80,3,Car_315
35.5,4,104.4,40.4,335,17.5,81,2,Car_316
25.4,4,145.1,66.1,923,17.8,70,2,Car_317
29.8,4,138.1,63.2,909,17.2,80,3,Car_318
29.9,4,147.6,41.5,963,19.3,77,1,Car_319
19.7,6,186.4,87.6,1304,13.6,79,1,Car_320
15.3,6,241.4,79.9,1368,14.5,72,2,Car_321
18.2,6,198.6,89.8,1313,15.5,80,1,Car_322
34.1,4,92.7,48.3,718,17.0,76,1,Car_323
10.0,8,336.5,123.7,1873,12.7,80,1,Car_324
12.1,6,246.9,94.7,1569,12.8,70,2,Car_325
10.0,6,240.3,85.1,1430,16.2,70,3,Car_326
16.4,6,236.7,92.5,1458,13.1,79,1,Car_327
32.0,4,89.8,32.8,598,20.0,82,3,Car_328
26.3,4,135.7,62.1,783,17.8,74,2,Car_329
29.3,4,94.1,50.7,502,17.1,74,3,Car_330
14.9,6,208.6,97.4,1297,14.9,77,2,Car_331
41.6,3,65.9,20.7,278,20.7,76,3,Car_332
31.8,4,137.0,52.7,719,17.1,77,1,Car_333
32.6,4,126.6,33.8,866,18.1,75,3,Car_334
27.1,4,116.6,38.6,585,16.6,75,1,Car_335
10.0,8,346.7,148.3,2229,10.6,71,3,Car_336
14.6,6,195.4,94.3,1267,12.6,75,3,Car_337
28.8,4,107.5,30.6,459,19.7,74,1,Car_338
28.4,4,137.2,48.9,769,17.8,82,1,Car_339
31.1,4,110.7,44.0,830,19.3,72,3,Car_340
29.7,4,106.4,45.4,542,18.0,75,1,Car_341
32.9,4,112.4,36.9,641,18.7,77,3,Car_342
32.8,4,101.1,44.7,682,19.3,78,1,Car_343
31.2,4,132.3,48.2,914,18.5,70,1,Car_344
12.7,6,204.3,81.6,1237,15.9,72,3,Car_345
17.0,6,227.5,96.4,1339,14.8,72,2,Car_346
31.1,4,143.0,57.3,1057,15.6,80,3,Car_347
28.1,4,106.9,38.4,871,19.8,77,1,Car_348
14.1,6,241.5,95.5,1615,15.1,70,2,Car_349
27.6,4,143.5,56.5,900,16.3,74,2,Car_350
10.0,8,372.5,145.3,2213,10.1,72,2,Car_351
11.2,6,239.5,93.2,1385,14.5,71,2,Car_352
26.0,4,145.8,74.3,967,15.9,77,2,Car_353
32.1,4,123.9,55.2,819,18.0,72,1,Car_354
14.0,6,238.6,92.5,1647,16.3,76,1,Car_355
35.1,4,89.7,42.9,634,19.9,81,3,Car_356
15.6,6,227.6,87.7,1231,13.4,80,1,Car_357
10.0,8,422.9,180.9,2748,8.3,70,2,Car_358
17.4,6,232.7,96.8,1323,15.9,75,1,Car_359
23.5,4,142.6,56.0,838,18.0,72,2,Car_360
13.7,6,241.7,101.1,1528,15.2,77,2,Car_361
30.8,4,90.6,,801,22.8,75,1,Car_362
19.9,6,182.0,,1502,18.3,81,1,Car_363
10.0,8,426.0,158.5,2714,9.6,71,1,Car_364
29.1,4,132.1,54.3,797,18.9,75,2,Car_365
10.0,8,353.0,158.5,2253,9.5,76,3,Car_366
10.0,8,335.5,156.5,2187,9.5,74,1,Car_367
25.0,4,133.4,59.7,788,16.8,72,2,Car_368
25.5,4,141.4,61.6,1092,19.0,73,1,Car_369
32.2,4,103.9,23.6,672,19.1,73,1,Car_370
38.6,3,57.7,17.6,417,22.4,75,3,Car_371
29.8,4,87.7,27.2,624,20.4,79,1,Car_372
16.1,6,200.1,73.8,1291,14.4,70,1,Car_373
28.7,4,88.9,33.9,652,19.7,80,1,Car_374
29.7,4,107.8,38.4,594,16.4,73,1,Car_375
10.0,8,388.0,135.4,2339,11.9,79,1,Car_376
32.2,4,90.5,43.7,429,19.6,82,1,Car_377
10.0,8,410.5,153.5,2598,9.0,73,2,Car_378
31.1,4,130.6,54.6,903,17.8,79,1,Car_379
23.0,4,130.4,72.9,863,18.5,70,1,Car_380
17.3,6,187.5,65.8,1363,16.1,78,1,Car_381
15.2,6,233.3,68.0,1446,15.3,73,1,Car_382
10.0,8,396.3,155.7,2537,11.3,76,2,Car_383
15.5,6,247.4,110.0,1403,15.6,81,3,Car_384
10.0,8,382.0,172.4,2322,8.2,72,1,Car_385
33.3,4,92.7,24.8,658,21.2,79,3,Car_386
29.6,4,143.6,62.4,992,18.6,81,2,Car_387
16.5,6,187.2,70.2,1125,15.5,72,2,Car_388
10.0,8,374.5,148.7,2313,9.5,77,1,Car_389
10.0,8,448.2,205.7,2596,8.0,77,1,Car_390
29.9,4,146.3,43.5,864,20.5,80,1,Car_391
32.1,4,90.7,38.8,669,19.6,81,2,Car_392
12.5,6,229.6,96.5,1492,13.2,70,1,Car_393
28.5,4,115.4,57.0,776,19.8,79,3,Car_394
10.0,8,407.6,164.0,2533,8.2,71,1,Car_395
10.0,8,403.9,164.6,2505,8.4,77,1,Car_396
23.5,4,141.0,52.5,795,18.2,70,2,Car_397
